Excerpt from http://lter.kbs.msu.edu/datasets/52 with added errors;;;;;
sample_date;state;station;species;sex;count
11.10.13;IA;Nashua;Anoecia.cornicola;F;7
11.10.13;IA;Nashua;Rhopalosiphum.sp.;M;3
04.10.13;IA;Nashua;Rhopalosiphum.rufiabdominale;F;1
04.10.13;IA;Sutherland;Acyrthosiphon.pisum;F;2
04.10.13;IA;Ames;Aphis.glycines;F;3
04.10.13;IA;Ames;Aphis.glycines;M;1
04.10.13;IA;Sutherland;Aphis.glycines;F;6
04.10.13;IA;Sutherland;Anoecia.cornicola;F;1
04.10.13;IA;Sutherland;Anoecia.oenotherae;F;1
04.10.13;IA;Ames;Anoecia.oenotherae;F;1
04.10.13;IA;Ames;Rhopalosiphum.padi;F;2
04.10.13;IA;Nashua;Rhopalosiphum.padi;F;4
04.10.13;IA;Ames;Nearctaphis.crataegifoliae;F;1
04.10.13;IA;Sutherland;Rhopalosiphum.padi;F;5
04.10.13;IA;Ames;Tetraneura.sp.;F;1
04.10.13;IA;Sutherland;Tetraneura.sp.;F;2
04.10.13;IA;Sutherland;Pemphigus.sp.;F;36
04.10.13;IA;Ames;Pemphigus.sp.;F;10
04.10.13;IA;Nashua;Hyadaphis.foeniculi;F;1
04.10.13;IA;Nashua;Lipaphis.pseudobrassicae;F;2
04.10.13;IA;Sutherland;Capitophorus.hippophaes;F;1
27.09.13;IA;Sutherland;Hysteroneura.setariae;F;1
27.09.13;IA;McNay;Prociphilus.sp.;F;4
27.09.13;IA;Sutherland;Prociphilus.sp.;F;1
27.09.13;IA;Nashua;Sipha.elegans;F;1
27.09.13;IA;Sutherland;Chaitophorus.populicola;F;1
27.09.13;IA;Sutherland;Colopha.ulmicola;F;1
27.09.13;IA;Nashua;Sitobion.avenae;M;1
27.09.13;IA;Nashua;Sitobion.avenae;F;4
27.09.13;IA;Sutherland;Anoecia.sp.;F;3
27.09.13;IA;Nashua;Pemphigus.sp.;F;1
27.09.13;IA;Sutherland;Uroleucon.sp.;F;1
27.09.13;IA;Nashua;Uroleucon.sp.;F;1
27.09.13;IA;Sutherland;Tetraneura.sp.;F;3
27.09.13;IA;Ames;Rhopalosiphum.rufiabdominale;F;2
27.09.13;IA;McNay;Rhopalosiphum.rufabdominale;F;2
27.09.13;IA;Sutherland;Rhopalosiphum.rufiabdominale;F;2
27.09.13;IA;Ames;Therioaphis.trifolii;F;1
27.09.13;IA;Nashua;Rhopalosiphum.maidis;F;1
27.09.13;IA;Sutherland;Rhopalosiphum.maidis;F;3
27.09.13;IA;Sutherland;Aphis.glycines;M;3
27.09.13;IA;Nashua;Aphis.glycines;F;21
27.09.13;IA;Sutherland;Aphis.glycines;F;48
27.09.13;IA;Ames;Aphis.glycines;F;1
27.09.13;IA;Nashua;Rhopalosiphum.insertum;F;1
27.09.13;IA;McNay;Aphis.glycines;F;3
27.09.13;IA;Ames;Rhopalosiphum.padii;F;5
27.09.13;IA;Nashua;Rhopalosiphum.padi;F;8
27.09.13;IA;Sutherland;Rhopalosiphum.padi;F;17
27.09.13;IA;McNay;Rhopalosiphum.padi;F;4
20.09.13;IA;Ames;Rhopalosiphum.padi;F;2
20.09.13;IA;Nashua;Pemphigus.populitransversus;F;1
20.09.13;IA;McNay;Pemphigus.populitransversus;F;1
20.09.13;IA;Nashua;Rhopalosiphum.padi;F;46
20.09.13;IA;Ames;Pemphigus.populitransversus;F;1
20.09.13;IA;McNay;Rhopalosiphum.padii;F;2
20.09.13;IA;Sutherland;Rhopalosiphum.padi;F;37
20.09.13;IA;Sutherland;Rhopalosiphum.nymphaeae;F;1
20.09.13;IA;McNay;Rhopalosiphum.nymphaeae;F;1
20.09.13;IA;Ames;Acyrthosiphon.pisum;F;1
20.09.13;IA;Sutherland;Aphis.nerii;F;2
20.09.13;IA;Sutherland;Rhopalosiphum.rufiabdominale;F;2
20.09.13;IA;Nashua;Rhopalosiphum.rufiabdominale;F;1
20.09.13;IA;Sutherland;Hyalopterus.pruni;M;1
20.09.13;IA;Nashua;Schizaphis.graminum;F;1
20.09.13;IA;Nashua;Anoecia.cornicola;F;1
20.09.13;IA;Ames;Tetraneura.sp.;F;1
20.09.13;IA;Ames;Pemphigus.sp.;F;1
20.09.13;IA;Sutherland;Rhopalosiphum.insertum;F;1
20.09.13;IA;McNay;Rhopalosiphum.maidis;F;1
20.09.13;IA;Sutherland;Anoecia.oenotherae;F;1
20.09.13;IA;Nashua;Rhopalosiphum.maidis;F;1
20.09.13;IA;Sutherland;Rhopalosiphum.maidis;F;2
20.09.13;IA;Sutherland;Pemphigus.sp.;F;5
20.09.13;IA;McNay;Lipaphis.pseudobrassicae;F;1
20.09.13;IA;Nashua;Aphis.glycines;M;4
20.09.13;IA;Nashua;Aphis.glycines;F;23
20.09.13;IA;Sutherland;Hysteroneura.setariae;F;10
20.09.13;IA;Nashua;Hysteroneura.setariae;F;3
20.09.13;IA;Sutherland;Aphis.glycines;M;1
20.09.13;IA;Sutherland;Aphis.glycines;F;23
20.09.13;IA;McNay;Aphis.glycines;F;2
20.09.13;IA;Nashua;Aphis.craccivora;F;1
20.09.13;IA;Nashua;Aphis.gossypii;F;1
20.09.13;IA;Sutherland;Colopha.ulmicola;F;1
20.09.13;IA;Sutherland;Aphis.craccivora;F;1
20.09.13;IA;Sutherland;Aphis.gossypii;F;2
20.09.13;IA;Sutherland;Chaitophorus.populicola;F;1
20.09.13;IA;Sutherland;Aphis.fabae;F;1
20.09.13;IA;Sutherland;Sitobion.avenae;F;11
13.09.13;IA;Sutherland;Myzus.persicae;F;1
13.09.13;IA;Nashua;Myzus.lythri;F;1
13.09.13;IA;Nashua;Aphis.sambuci;F;1
13.09.13;IA;Ames;Lipaphis.pseudobrassicae;F;11
13.09.13;IA;Nashua;Lipaphis.pseudobrassicae;F;2
13.09.13;IA;Ames;Capitophorus.hippophaes;F;1
13.09.13;IA;Nashua;Capitophorus.elaeagni;F;1
13.09.13;IA;Sutherland;Lipaphis.pseudobrassicae;F;1
13.09.13;IA;Sutherland;Capitophorus.hippophaes;F;6
13.09.13;IA;Ames;Capitophorus.elaeagni;F;2
13.09.13;IA;Nashua;Capitophorus.hippophaes;F;3
13.09.13;IA;Sutherland;Hysteroneura.setariae;F;12
13.09.13;IA;Nashua;Hysteroneura.setariae;F;4
13.09.13;IA;Sutherland;Hyperomyzus.sp.;F;1
13.09.13;IA;Ames;Monellia.caryella;F;1
13.09.13;IA;McNay;Pemphigus.populitransversus;F;4
13.09.13;IA;Nashua;Pemphigus.populitransversus;F;2
13.09.13;IA;Ames;Pemphigus.populitransversus;F;3
13.09.13;IA;Ames;Rhopalosiphum.maidis;F;1
13.09.13;IA;Ames;Pemphigus.sp.;F;2
13.09.13;IA;Nashua;Pemphigus.sp.;F;2
13.09.13;IA;Ames;Sipha.elegans;F;1
13.09.13;IA;McNay;Rhopalosiphum.maidis;F;1
13.09.13;IA;Sutherland;Anoecia.cornicola;F;1
13.09.13;IA;Nashua;Rhopalosiphum.maidis;F;11
13.09.13;IA;Sutherland;Rhopalosiphum.maidis;F;9
13.09.13;IA;Sutherland;Pemphigus.sp.;F;12
13.09.13;IA;McNay;Rhopalosiphum.rufiabdominale;F;4
13.09.13;IA;Sutherland;Rhopalosiphum.rufiabdominale;F;12
13.09.13;IA;Nashua;Rhopalosiphum.rufiabdominale;F;6
13.09.13;IA;Ames;Rhopalosiphum.rufiabdominale;F;1
13.09.13;IA;Nashua;Aphis.asclepiadis;F;1
13.09.13;IA;Sutherland;Aphis.asclepiadis;F;1
13.09.13;IA;Sutherland;Aphis.nerii;F;1
13.09.13;IA;Ames;Hyalopterus.pruni;F;1
13.09.13;IA;Sutherland;Hyalopterus.pruni;F;19
13.09.13;IA;Sutherland;Hyalopterus.pruni;M;4
13.09.13;IA;Nashua;Aphis.nerii;F;2
13.09.13;IA;Nashua;Acyrthosiphon.pisum;F;1
13.09.13;IA;Nashua;Hayhurstia.atriplicis;F;1
13.09.13;IA;McNay;Anoecia.oenotherae;F;1
13.09.13;IA;Sutherland;Aphis.nasturtii;F;1
13.09.13;IA;Ames;Rhopalosiphum.insertum;F;1
13.09.13;IA;Ames;Aphis.gossypii;F;7
13.09.13;IA;Nashua;Aphis.glycines;M;3
13.09.13;IA;Nashua;Aphis.glycines;F;50
13.09.13;IA;Ames;Aphis.glycines;F;28
13.09.13;IA;Sutherland;Aphis.glycines;F;56
13.09.13;IA;Sutherland;Aphis.glycines;M;15
13.09.13;IA;Sutherland;Aphis.gossypii;F;15
13.09.13;IA;Sutherland;Anoecia.setariae;F;1
13.09.13;IA;McNay;Aphis.gossypii;F;1
13.09.13;IA;McNay;Aphis.glycines;F;1
13.09.13;IA;Nashua;Anoecia.setariae;F;1
13.09.13;IA;Ames;Macrosiphum.euphorbiae;F;3
13.09.13;IA;Sutherland;Acyrthosiphon.pisum;F;1
13.09.13;IA;Sutherland;Macrosiphum.euphorbiae;F;3
13.09.13;IA;Sutherland;Anoecia.oenotherae;F;1
13.09.13;IA;Sutherland;Schizaphis.graminum;F;1
13.09.13;IA;Nashua;Schizaphis.graminum;F;2
13.09.13;IA;Ames;Sitobion.avenae;F;9
13.09.13;IA;Sutherland;Sitobion.avenae;F;15
13.09.13;IA;Nashua;Prociphilus.sp.;F;1
13.09.13;IA;McNay;Sitobion.avenae;F;2
13.09.13;IA;Nashua;Sitobion.avenae;F;6
13.09.13;IA;McNay;Hyadaphis.foeniculi;F;4
13.09.13;IA;Nashua;Nearctaphis.crataegifoliae;F;1
13.09.13;IA;Ames;Rhopalosiphum.nymphaeae;F;2
13.09.13;IA;Sutherland;Rhopalosiphum.nymphaeae;F;19
13.09.13;IA;Ames;Rhopalosiphum.padi;F;83
13.09.13;IA;Nashua;Rhopalosiphum.padi;F;60
13.09.13;IA;Sutherland;Colopha.ulmicola;F;4
13.09.13;IA;Sutherland;Chaitophorus.populicola;F;1
13.09.13;IA;Nashua;Rhopalosiphum.nymphaeae;F;2
13.09.13;IA;Sutherland;Rhopalosiphum.nymphaeae;M;2
13.09.13;IA;McNay;Rhopalosiphum.padi;F;14
13.09.13;IA;Ames;Aphis.craccivora;F;2
13.09.13;IA;Sutherland;Rhopalosiphum.padi;F;112
13.09.13;IA;McNay;Rhopalosiphum.nymphaeae;F;1
13.09.13;IA;Nashua;Aphis.craccivora;F;4
13.09.13;IA;McNay;Tetraneura.sp.;F;1
13.09.13;IA;Nashua;Tetraneura.sp.;F;1
13.09.13;IA;Sutherland;Aphis.craccivora;F;3
13.09.13;IA;Ames;Therioaphis.trifolii;F;1
06.09.13;IA;Nashua;Aphis.craccivora;F;8
06.09.13;IA;Ames;Aphis.craccivora;F;4
06.09.13;IA;McNay;Therioaphis.trifolii;F;1
06.09.13;IA;Nashua;Therioaphis.trifolii;F;1
06.09.13;IA;Nashua;Nearctaphis.crataegifoliae;F;1
06.09.13;IA;Nashua;Rhopalosiphum.cerasifoliae;F;1
06.09.13;IA;Sutherland;Aphis.craccivora;F;4
06.09.13;IA;Sutherland;Rhopalosiphum.cerasifoliae;F;1
06.09.13;IA;Ames;Rhopalosiphum.padi;F;35
06.09.13;IA;Nashua;Rhopalosiphum.padi;F;206
06.09.13;IA;Nashua;Rhopalosiphum.nymphaeae;F;5
06.09.13;IA;Sutherland;Tetraneura.sp.;F;2
06.09.13;IA;Sutherland;Sitobion.avenae;F;15
06.09.13;IA;Ames;Sitobion.avenae;F;4
06.09.13;IA;Ames;Tetraneura.sp.;F;1
06.09.13;IA;Ames;Hyadaphis.foeniculi;F;1
06.09.13;IA;Nashua;Sitobion.avenae;F;14
06.09.13;IA;Nashua;Tetraneura.sp.;F;4
06.09.13;IA;McNay;Rhopalosiphum.padi;F;3
06.09.13;IA;Sutherland;Rhopalosiphum.padi;F;130
06.09.13;IA;Sutherland;Aphis.nerii;F;4
06.09.13;IA;Sutherland;Rhopalosiphum.nymphaeae;F;3
06.09.13;IA;Sutherland;Macrosiphum.euphorbiae;F;2
06.09.13;IA;McNay;Pemphigus.populitransversus;F;2
06.09.13;IA;Ames;Pemphigus.populitransversus;F;3
06.09.13;IA;Nashua;Pemphigus.populitransversus;F;6
06.09.13;IA;Sutherland;Pemphigus.populitransversus;F;2
06.09.13;IA;Nashua;Macrosiphum.euphorbiae;F;2
06.09.13;IA;Ames;Aphis.gossypii;F;6
06.09.13;IA;Sutherland;Hysteroneura.setariae;F;1
06.09.13;IA;Ames;Hysteroneura.setariae;F;1
06.09.13;IA;Nashua;Hysteroneura.setariae;F;3
06.09.13;IA;Nashua;Capitophorus.elaeagni;F;8
06.09.13;IA;Sutherland;Capitophorus.hippophaes;F;6
06.09.13;IA;Nashua;Capitophorus.hippophaes;M;1
06.09.13;IA;Nashua;Capitophorus.hippophaes;F;34
06.09.13;IA;Sutherland;Capitophorus.elaeagni;F;1
06.09.13;IA;Nashua;Lipaphis.pseudobrassicae;F;17
06.09.13;IA;Nashua;Acyrthosiphon.pisum;F;3
06.09.13;IA;Ames;Aphis.glycines;F;17
06.09.13;IA;Sutherland;Aphis.glycines;F;58
06.09.13;IA;Nashua;Aphis.glycines;F;332
06.09.13;IA;McNay;Aphis.glycines;F;1
06.09.13;IA;Nashua;Schizaphis.graminum;F;13
06.09.13;IA;Ames;Rhopalosiphum.rufiabdominale;F;3
06.09.13;IA;Sutherland;Rhopalosiphum.rufiabdominale;F;6
06.09.13;IA;Nashua;Rhopalosiphum.rufiabdominale;F;6
06.09.13;IA;Sutherland;Rhopalosiphum.insertum;F;1
06.09.13;IA;Nashua;Rhopalosiphum.insertum;F;1
06.09.13;IA;Nashua;Hyalopterus.pruni;F;1
06.09.13;IA;Sutherland;Rhopalosiphum.maidis;F;4
06.09.13;IA;Sutherland;Hyalopterus.pruni;F;20
06.09.13;IA;Nashua;Rhopalosiphum.maidis;F;15
06.09.13;IA;Ames;Hyalopterus.pruni;M;1
06.09.13;IA;Ames;Rhopalosiphum.maidis;F;1
06.09.13;IA;Ames;Acyrthosiphon.pisum;F;1
06.09.13;IA;McNay;Aphis.asclepiadis;F;1
06.09.13;IA;Nashua;Hayhurstia.atriplicis;F;1
06.09.13;IA;Sutherland;Uroleucon.sp.;F;3
06.09.13;IA;Nashua;Uroleucon.sp.;F;5
06.09.13;IA;Nashua;Pemphigus.sp.;F;1
06.09.13;IA;Sutherland;Pemphigus.sp.;F;2
30.08.13;IA;Nashua;Uroleucon.sp.;F;1
30.08.13;IA;Nashua;Pemphigus.sp.;F;1
30.08.13;IA;Ames;Uroleucon.sp.;F;1
30.08.13;IA;Sutherland;Uroleucon.sp.;F;1
30.08.13;IA;Nashua;Myzus.persicae;F;1
30.08.13;IA;Sutherland;Pemphigus.sp.;F;1
30.08.13;IA;Sutherland;Aphis.middletonii;F;2
30.08.13;IA;McNay;Rhopalosiphum.rufiabdominale;F;1
30.08.13;IA;Sutherland;Rhopalosiphum.rufiabdominale;F;3
30.08.13;IA;McNay;Aphis.middletonii;F;1
30.08.13;IA;Nashua;Rhopalosiphum.rufiabdominale;F;6
30.08.13;IA;Ames;Rhopalosiphum.rufiabdominale;F;2
30.08.13;IA;Sutherland;Hyalopterus.pruni;F;2
30.08.13;IA;Ames;Rhopalosiphum.maidis;F;3
30.08.13;IA;McNay;Rhopalosiphum.nymphaeae;F;3
30.08.13;IA;Nashua;Rhopalosiphum.maidis;F;2
30.08.13;IA;Sutherland;Rhopalosiphum.maidis;F;7
30.08.13;IA;Nashua;Rhopalosiphum.nymphaeae;F;2
30.08.13;IA;Sutherland;Rhopalosiphum.nymphaeae;F;2
30.08.13;IA;Nashua;Acyrthosiphon.pisum;F;3
30.08.13;IA;Sutherland;Rhopalosiphum.cerasifoliae;F;2
30.08.13;IA;Sutherland;Acyrthosiphon.pisum;F;2
30.08.13;IA;Sutherland;Aphis.nerii;F;2
30.08.13;IA;Ames;Acyrthosiphon.pisum;F;2
30.08.13;IA;Nashua;Hayhurstia.atriplicis;F;1
30.08.13;IA;Ames;Hayhurstia.atriplicis;F;1
30.08.13;IA;Ames;Pemphigus.populitransversus;F;3
30.08.13;IA;Nashua;Pemphigus.populitransversus;F;6
30.08.13;IA;McNay;Pemphigus.populitransversus;F;2
30.08.13;IA;Sutherland;Therioaphis.riehmi;F;1
30.08.13;IA;Sutherland;Schizaphis.graminum;F;5
30.08.13;IA;McNay;Therioaphis.riehmi;F;1
30.08.13;IA;Nashua;Schizaphis.graminum;F;2
30.08.13;IA;Nashua;Rhopalosiphum.sp.;F;1
30.08.13;IA;Sutherland;Aphis.asclepiadis;F;1
30.08.13;IA;Nashua;Aphis.asclepiadis;F;3
30.08.13;IA;McNay;Aphis.asclepiadis;F;1
30.08.13;IA;Sutherland;Sitobion.avenae;F;14
30.08.13;IA;Ames;Sitobion.avenae;F;2
30.08.13;IA;Nashua;Sitobion.avenae;F;15
30.08.13;IA;McNay;Macrosiphum.euphorbiae;F;1
30.08.13;IA;McNay;Thripsaphis.sp.;F;1
30.08.13;IA;Nashua;Aphis.fabae;F;1
30.08.13;IA;Ames;Aphis.glycines;F;7
30.08.13;IA;Sutherland;Aphis.glycines;F;139
30.08.13;IA;Nashua;Aphis.illinoisensis;F;1
30.08.13;IA;Nashua;Aphis.glycines;F;214
30.08.13;IA;McNay;Aphis.glycines;F;4
30.08.13;IA;McNay;Therioaphis.trifolii;F;2
30.08.13;IA;Nashua;Rhopalosiphum.padi;F;40
30.08.13;IA;Nashua;Therioaphis.trifolii;F;2
30.08.13;IA;Nashua;Aphis.craccivora;F;3
30.08.13;IA;Ames;Aphis.craccivora;F;4
30.08.13;IA;Sutherland;Colopha.ulmicola;F;1
30.08.13;IA;Sutherland;Therioaphis.trifolii;F;1
30.08.13;IA;Ames;Therioaphis.trifolii;F;1
30.08.13;IA;Nashua;Colopha.ulmicola;F;1
30.08.13;IA;Ames;Rhopalosiphum.padi;F;6
30.08.13;IA;McNay;Rhopalosiphum.padi;F;2
30.08.13;IA;Sutherland;Rhopalosiphum.padi;F;19
30.08.13;IA;Sutherland;Aphis.craccivora;F;12
30.08.13;IA;Nashua;Aphis.nasturtii;F;1
30.08.13;IA;Nashua;Rhopalosiphum.insertum;F;2
30.08.13;IA;Sutherland;Rhopalosiphum.insertum;F;2
30.08.13;IA;Nashua;Rhopalosiphoninus.staphyleae;F;1
30.08.13;IA;Ames;Tetraneura.sp.;F;1
30.08.13;IA;Nashua;Myzus.lythri;F;1
30.08.13;IA;Nashua;Aphis.sambuci;F;1
30.08.13;IA;Sutherland;Myzus.lythri;F;1
30.08.13;IA;Ames;Lipaphis.pseudobrassicae;F;3
30.08.13;IA;Sutherland;Capitophorus.hippophaes;F;9
30.08.13;IA;Ames;Capitophorus.hippophaes;F;2
30.08.13;IA;Nashua;Capitophorus.elaeagni;F;4
30.08.13;IA;Nashua;Lipaphis.pseudobrassicae;F;5
30.08.13;IA;Nashua;Capitophorus.hippophaes;F;20
30.08.13;IA;Sutherland;Capitophorus.elaeagni;F;1
30.08.13;IA;Sutherland;Hysteroneura.setariae;F;4
30.08.13;IA;McNay;Capitophorus.hippophaes;F;1
30.08.13;IA;Nashua;Hysteroneura.setariae;F;3
23.08.13;IA;Nashua;Pemphigus.populitransversus;F;7
23.08.13;IA;Ames;Pemphigus.populitransversus;F;3
23.08.13;IA;Sutherland;Pemphigus.populitransversus;F;2
23.08.13;IA;McNay;Pemphigus.populitransversus;F;11
23.08.13;IA;Nashua;Aphis.sambuci;F;1
23.08.13;IA;Sutherland;Hysteroneura.setariae;F;6
23.08.13;IA;Nashua;Hysteroneura.setariae;F;2
23.08.13;IA;Ames;Capitophorus.hippophaes;F;2
23.08.13;IA;Sutherland;Capitophorus.hippophaes;F;4
23.08.13;IA;Nashua;Capitophorus.elaeagni;F;1
23.08.13;IA;Sutherland;Aphis.nerii;F;1
23.08.13;IA;Nashua;Capitophorus.hippophaes;F;1
23.08.13;IA;Ames;Capitophorus.elaeagni;F;1
23.08.13;IA;McNay;Capitophorus.elaeagni;F;1
23.08.13;IA;McNay;Capitophorus.hippophaes;F;2
23.08.13;IA;Sutherland;Chaitophorus.populicola;F;1
23.08.13;IA;Ames;Aphis.craccivora;F;1
23.08.13;IA;Nashua;Aphis.craccivora;F;5
23.08.13;IA;Sutherland;Aphis.craccivora;F;2
23.08.13;IA;Nashua;Rhopalosiphum.insertum;F;2
23.08.13;IA;Nashua;Therioaphis.trifolii;F;3
23.08.13;IA;Ames;Aphis.spiraecola;F;1
23.08.13;IA;Sutherland;Aphis.spiraecola;F;1
23.08.13;IA;McNay;Rhopalosiphum.insertum;F;2
23.08.13;IA;Nashua;Aphis.spiraecola;F;1
23.08.13;IA;Nashua;Rhopalosiphum.cerasifoliae;F;1
23.08.13;IA;Sutherland;Sitobion.avenae;F;3
23.08.13;IA;Ames;Sitobion.avenae;F;3
23.08.13;IA;McNay;Hyadaphis.foeniculi;F;1
23.08.13;IA;Sutherland;Aphis.gossypii;F;14
23.08.13;IA;McNay;Macrosiphum.euphorbiae;F;1
23.08.13;IA;Sutherland;Macrosiphum.euphorbiae;F;1
23.08.13;IA;Ames;Aphis.glycines;F;2
23.08.13;IA;Nashua;Aphis.glycines;F;38
23.08.13;IA;Sutherland;Aphis.glycines;F;2
23.08.13;IA;Nashua;Macrosiphum.euphorbiae;F;1
23.08.13;IA;Sutherland;Myzocallis.sp.;F;1
23.08.13;IA;Nashua;Myzocallis.sp.;F;1
23.08.13;IA;McNay;Aphis.glycines;F;1
23.08.13;IA;Nashua;Uroleucon.sp.;F;1
23.08.13;IA;McNay;Acyrthosiphon.kondoi;F;1
23.08.13;IA;Ames;Rhopalosiphum.rufiabdominale;F;2
23.08.13;IA;Sutherland;Rhopalosiphum.rufiabdominale;F;2
23.08.13;IA;Nashua;Rhopalosiphum.rufiabdominale;F;2
23.08.13;IA;McNay;Rhopalosiphum.rufiabdominale;F;2
23.08.13;IA;Nashua;Hyalopterus.pruni;F;1
23.08.13;IA;Nashua;Pemphigus.sp.;F;1
23.08.13;IA;Sutherland;Hyalopterus.pruni;F;3
23.08.13;IA;Nashua;Rhopalosiphum.maidis;F;1
23.08.13;IA;Ames;Rhopalosiphum.nymphaeae;F;5
23.08.13;IA;Sutherland;Rhopalosiphum.nymphaeae;F;2
23.08.13;IA;Sutherland;Rhopalosiphum.maidis;F;8
23.08.13;IA;Sutherland;Pemphigus.sp.;F;1
23.08.13;IA;Ames;Rhopalosiphum.maidis;F;3
23.08.13;IA;Nashua;Rhopalosiphum.nymphaeae;F;11
23.08.13;IA;McNay;Aphis.middletonii;F;1
23.08.13;IA;Nashua;Schizaphis.graminum;F;2
23.08.13;IA;Nashua;Acyrthosiphon.pisum;F;3
23.08.13;IA;McNay;Aphis.coreopsidis;F;1
23.08.13;IA;Nashua;Rhopalosiphum.padi;F;1
23.08.13;IA;Sutherland;Rhopalosiphum.padi;F;10
23.08.13;IA;Ames;Rhopalosiphum.padi;F;1
16.08.13;IA;Sutherland;Hyperomyzus.sp.;F;1
16.08.13;IA;Nashua;Pemphigus.populitransversus;F;3
16.08.13;IA;Ames;Pemphigus.populitransversus;F;3
16.08.13;IA;Sutherland;Pemphigus.populitransversus;F;1
16.08.13;IA;McNay;Pemphigus.populitransversus;F;10
16.08.13;IA;McNay;Acyrthosiphon.pisum;F;1
16.08.13;IA;Sutherland;Acyrthosiphon.pisum;F;4
16.08.13;IA;Nashua;Aphis.coreopsidis;F;1
16.08.13;IA;Sutherland;Aphis.polygonata;F;2
16.08.13;IA;Nashua;Acyrthosiphon.pisum;F;2
16.08.13;IA;Nashua;Aphis.asclepiadis;F;1
16.08.13;IA;Nashua;Aphis.middletonii;F;1
16.08.13;IA;Sutherland;Rhopalosiphum.rufiabdominale;F;3
16.08.13;IA;Nashua;Hyalopterus.pruni;F;8
16.08.13;IA;Sutherland;Hyalopterus.pruni;F;6
16.08.13;IA;Ames;Hyalopterus.pruni;F;1
16.08.13;IA;Ames;Rhopalosiphum.nymphaeae;F;5
16.08.13;IA;Nashua;Rhopalosiphum.nymphaeae;F;5
16.08.13;IA;Nashua;Rhopalosiphum.padi;F;1
16.08.13;IA;McNay;Aphis.knowltoni;F;1
16.08.13;IA;McNay;Rhopalosiphum.nymphaeae;F;1
16.08.13;IA;Sutherland;Rhopalosiphum.nymphaeae;F;6
16.08.13;IA;Sutherland;Rhopalosiphum.maidis;F;1
16.08.13;IA;Sutherland;Pemphigus.sp.;F;2
16.08.13;IA;McNay;Rhopalosiphum.padi;F;1
16.08.13;IA;Sutherland;Rhopalosiphum.padi;F;1
16.08.13;IA;McNay;Pemphigus.sp.;F;5
